                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
1,0.95599,2.3738,1.3664,0.41131,0.51755,0.49514,0.37103,0.87637,1.363,1.3176,0.003318,0.003318,0.003318,0.4583543063540253
2,0.88525,1.3517,1.2776,0.54544,0.53556,0.54032,0.39495,0.9483,1.2755,1.378,0.0066382,0.0066382,0.0066382,0.5404548499537466
3,0.98969,1.4184,1.3537,0.60645,0.36331,0.37239,0.23891,1.218,2.0514,1.6834,0.0099452,0.0099452,0.0099452,0.4543997473601716
4,1.111,1.5529,1.4431,0.50589,0.40668,0.4253,0.28966,1.1841,1.6663,1.6773,0.0099406,0.0099406,0.0099406,0.4508921950096979
5,1.1022,1.5023,1.4532,0.35169,0.48526,0.39934,0.24106,1.4025,1.9443,1.8447,0.0099406,0.0099406,0.0099406,0.4078166901248581
6,1.0744,1.4766,1.4181,0.506,0.44849,0.41219,0.26761,1.2437,1.8119,1.7258,0.0099208,0.0099208,0.0099208,0.475512451675764
7,1.0405,1.4037,1.3999,0.55365,0.54808,0.55293,0.36891,1.1048,1.4261,1.5695,0.009901,0.009901,0.009901,0.5508509199168581
8,1.0387,1.3573,1.3919,0.55198,0.49305,0.48587,0.32161,1.193,1.6084,1.6232,0.0098812,0.0098812,0.0098812,0.5208534472694564
9,1.0138,1.3396,1.3872,0.59565,0.56445,0.58752,0.41596,1.0448,1.2203,1.4823,0.0098614,0.0098614,0.0098614,0.5796304499612103
10,0.99439,1.3049,1.3656,0.61138,0.53672,0.59398,0.41741,1.029,1.2508,1.4527,0.0098416,0.0098416,0.0098416,0.5716224607612578
11,0.98382,1.2618,1.3541,0.72043,0.59626,0.64631,0.45918,1.0048,1.1453,1.4512,0.0098218,0.0098218,0.0098218,0.6524900953147666
12,0.95631,1.2429,1.3344,0.54356,0.56028,0.55804,0.38276,1.1014,1.3457,1.5369,0.009802,0.009802,0.009802,0.551793370053631
13,0.95491,1.2254,1.3355,0.62416,0.62183,0.64199,0.46492,0.95945,1.1019,1.4081,0.0097822,0.0097822,0.0097822,0.6229928214512156
14,0.95305,1.1916,1.3258,0.68464,0.58651,0.64493,0.44375,1.0096,1.1335,1.4516,0.0097624,0.0097624,0.0097624,0.6317872893049601
15,0.93993,1.1844,1.3135,0.67394,0.54346,0.62519,0.4595,0.95478,1.1472,1.3855,0.0097426,0.0097426,0.0097426,0.6017076267455232
16,0.92222,1.1386,1.3054,0.65322,0.58658,0.64801,0.48062,0.90821,1.0663,1.3513,0.0097228,0.0097228,0.0097228,0.6181090298435232
17,0.90361,1.1139,1.2875,0.664,0.65554,0.68555,0.50987,0.89144,1.0222,1.3475,0.009703,0.009703,0.009703,0.6597428800945785
18,0.91063,1.0908,1.2888,0.645,0.67095,0.68883,0.508,0.90275,1.0006,1.347,0.0096832,0.0096832,0.0096832,0.6577191382651317
19,0.89383,1.082,1.2787,0.68134,0.64836,0.69638,0.52149,0.85726,0.98156,1.3058,0.0096634,0.0096634,0.0096634,0.6644410053395503
20,0.87655,1.0542,1.2673,0.65499,0.64521,0.68934,0.50339,0.92544,1.0298,1.3599,0.0096436,0.0096436,0.0096436,0.6500632178126442
21,0.88015,1.0766,1.2656,0.69077,0.65845,0.71002,0.52346,0.89292,0.96047,1.3276,0.0096238,0.0096238,0.0096238,0.674222893968367
22,0.87449,1.0648,1.2824,0.6961,0.66647,0.713,0.53667,0.89331,0.95237,1.3333,0.009604,0.009604,0.009604,0.6809628378725497
23,0.87097,1.0256,1.2689,0.70446,0.65666,0.70688,0.52951,0.89601,0.96457,1.3265,0.0095842,0.0095842,0.0095842,0.6797206765017044
24,0.85999,1.0055,1.2569,0.68384,0.66569,0.70309,0.50969,0.88025,0.95357,1.337,0.0095644,0.0095644,0.0095644,0.6746429491748979
25,0.84892,1.0036,1.2493,0.71013,0.67237,0.73006,0.56382,0.83581,0.90281,1.2847,0.0095446,0.0095446,0.0095446,0.6907343335985534
26,0.84047,0.96941,1.2418,0.71428,0.66972,0.70485,0.52926,0.88192,0.93203,1.3135,0.0095248,0.0095248,0.0095248,0.6912826612716764
27,0.8462,0.97464,1.257,0.68031,0.62733,0.68645,0.51559,0.87721,0.95023,1.3082,0.009505,0.009505,0.009505,0.6527467380930531
28,0.83739,0.96179,1.2293,0.75373,0.6542,0.72692,0.56242,0.83808,0.89394,1.2803,0.0094852,0.0094852,0.0094852,0.7004469909725626
29,0.82386,0.95929,1.2281,0.70641,0.69146,0.73728,0.55868,0.8636,0.87795,1.2973,0.0094654,0.0094654,0.0094654,0.6988550560495611
30,0.82179,0.95005,1.2258,0.70969,0.67185,0.7198,0.55483,0.83306,0.89695,1.2782,0.0094456,0.0094456,0.0094456,0.6902517864122646
31,0.81603,0.92459,1.2237,0.77373,0.61393,0.71639,0.54925,0.84626,0.91293,1.2872,0.0094258,0.0094258,0.0094258,0.684628884452964
32,0.81247,0.9202,1.2315,0.73193,0.66782,0.73861,0.56175,0.83494,0.83029,1.2828,0.009406,0.009406,0.009406,0.6984068477942489
33,0.8029,0.91858,1.2196,0.7293,0.67067,0.73498,0.56576,0.8165,0.87392,1.2573,0.0093862,0.0093862,0.0093862,0.6987573033707865
34,0.81337,0.92223,1.2187,0.7669,0.67201,0.73846,0.55267,0.86493,0.87409,1.307,0.0093664,0.0093664,0.0093664,0.7163262038626461
35,0.79875,0.89317,1.204,0.70731,0.70952,0.73977,0.56413,0.84786,0.85783,1.2936,0.0093466,0.0093466,0.0093466,0.708413276398721
36,0.80356,0.89008,1.2107,0.6773,0.71511,0.74621,0.57424,0.8305,0.86558,1.2741,0.0093268,0.0093268,0.0093268,0.6956916468568884
37,0.79945,0.87886,1.2143,0.73125,0.67786,0.73067,0.5593,0.84367,0.8784,1.2916,0.009307,0.009307,0.009307,0.7035435487648232
38,0.79502,0.87982,1.204,0.70302,0.68455,0.7295,0.56225,0.82512,0.86775,1.2674,0.0092872,0.0092872,0.0092872,0.6936620725440878
39,0.78299,0.85226,1.2044,0.71753,0.66314,0.72322,0.55904,0.82069,0.87804,1.2641,0.0092674,0.0092674,0.0092674,0.6892636824150594
40,0.7688,0.8439,1.1936,0.72836,0.67669,0.73396,0.56471,0.82243,0.85612,1.2725,0.0092476,0.0092476,0.0092476,0.7015749309988968
41,0.78062,0.84226,1.1979,0.73359,0.69101,0.73633,0.56035,0.82816,0.85326,1.2666,0.0092278,0.0092278,0.0092278,0.7116636612382424
42,0.77421,0.82708,1.1942,0.72906,0.69966,0.74591,0.57739,0.81759,0.83992,1.2609,0.009208,0.009208,0.009208,0.7140575054594321
43,0.76512,0.81844,1.1839,0.69866,0.67904,0.73514,0.56203,0.84174,0.87154,1.2785,0.0091882,0.0091882,0.0091882,0.6887102945488858
44,0.75693,0.81735,1.1768,0.75506,0.67258,0.73015,0.57104,0.80172,0.84676,1.2556,0.0091684,0.0091684,0.0091684,0.7114374139138718
45,0.75546,0.79675,1.1789,0.70469,0.68684,0.72679,0.56647,0.82406,0.88451,1.2664,0.0091486,0.0091486,0.0091486,0.6956505136073243
46,0.75129,0.7941,1.1681,0.75544,0.69956,0.73694,0.56878,0.82114,0.8332,1.263,0.0091288,0.0091288,0.0091288,0.7264269503780069
47,0.74657,0.78848,1.1763,0.73961,0.67838,0.73359,0.56221,0.84105,0.89315,1.2991,0.009109,0.009109,0.009109,0.707673018568537
48,0.76555,0.80158,1.1777,0.75069,0.67097,0.74376,0.57811,0.80386,0.83406,1.2399,0.0090892,0.0090892,0.0090892,0.708594838850358
49,0.74604,0.76897,1.1667,0.75538,0.67146,0.74688,0.58397,0.82657,0.82057,1.2529,0.0090694,0.0090694,0.0090694,0.7109521106781419
50,0.75208,0.77837,1.1645,0.76987,0.67479,0.75835,0.58836,0.82821,0.82375,1.257,0.0090496,0.0090496,0.0090496,0.7192011647031135
51,0.73618,0.76986,1.167,0.72593,0.6593,0.72465,0.56119,0.82309,0.86817,1.2766,0.0090298,0.0090298,0.0090298,0.691012537990081
52,0.73592,0.76435,1.1666,0.71846,0.6986,0.74003,0.57252,0.81702,0.8498,1.2831,0.00901,0.00901,0.00901,0.7083908317220159
53,0.73941,0.76108,1.1707,0.66525,0.70996,0.72772,0.56483,0.8093,0.8415,1.2565,0.0089902,0.0089902,0.0089902,0.6868782076919162
54,0.73135,0.76042,1.1645,0.70469,0.71947,0.75047,0.59281,0.79981,0.8204,1.249,0.0089704,0.0089704,0.0089704,0.7120033062296373
55,0.72555,0.73588,1.1448,0.76957,0.70152,0.76016,0.59172,0.8101,0.7849,1.2568,0.0089506,0.0089506,0.0089506,0.7339710641769029
56,0.73148,0.75031,1.159,0.73862,0.68637,0.74922,0.58691,0.81109,0.84065,1.2498,0.0089308,0.0089308,0.0089308,0.7115370766110639
57,0.73199,0.73404,1.1613,0.753,0.68543,0.74512,0.58036,0.80929,0.81456,1.2517,0.008911,0.008911,0.008911,0.7176279554792379
58,0.73444,0.72372,1.1633,0.75875,0.66562,0.73326,0.57773,0.8068,0.86871,1.251,0.0088912,0.0088912,0.0088912,0.7091404269957946
59,0.72047,0.73338,1.157,0.71856,0.70152,0.74781,0.58388,0.79602,0.83154,1.2604,0.0088714,0.0088714,0.0088714,0.7099377657596755
60,0.71283,0.71519,1.1519,0.76377,0.67938,0.74069,0.58024,0.81243,0.84813,1.2636,0.0088516,0.0088516,0.0088516,0.7191075946367321
61,0.71531,0.69749,1.1525,0.73361,0.70474,0.75096,0.59477,0.80711,0.81805,1.2452,0.0088318,0.0088318,0.0088318,0.7188852663120937
62,0.7146,0.71364,1.1481,0.74883,0.69134,0.73371,0.57455,0.81102,0.85815,1.2492,0.008812,0.008812,0.008812,0.7189375312636703
63,0.70293,0.71504,1.1425,0.73384,0.71431,0.75787,0.59209,0.81967,0.78156,1.2779,0.0087922,0.0087922,0.0087922,0.7239433075302973
64,0.70532,0.6964,1.1473,0.77263,0.67563,0.75969,0.59419,0.8305,0.82385,1.2676,0.0087724,0.0087724,0.0087724,0.7208816191844005
65,0.70949,0.7067,1.1459,0.76387,0.69118,0.75743,0.59649,0.79017,0.81195,1.2453,0.0087526,0.0087526,0.0087526,0.7257093111576923
66,0.69936,0.68615,1.1403,0.72215,0.71255,0.75412,0.59133,0.79802,0.84077,1.2389,0.0087328,0.0087328,0.0087328,0.7173178817871333
67,0.69712,0.68304,1.1471,0.75595,0.67989,0.75097,0.58075,0.82616,0.82491,1.2778,0.008713,0.008713,0.008713,0.7159054567361266
68,0.70265,0.67579,1.1474,0.7696,0.6733,0.74276,0.58187,0.80977,0.82855,1.2664,0.0086932,0.0086932,0.0086932,0.7182364405017674
69,0.6951,0.67158,1.1362,0.71914,0.68613,0.7331,0.57529,0.8051,0.86703,1.2439,0.0086734,0.0086734,0.0086734,0.7022472951105482
70,0.6832,0.65617,1.1215,0.73344,0.69652,0.74502,0.58534,0.79571,0.83547,1.2557,0.0086536,0.0086536,0.0086536,0.7145033830316933
71,0.68419,0.66017,1.1333,0.75972,0.68998,0.73586,0.57525,0.81095,0.85106,1.2547,0.0086338,0.0086338,0.0086338,0.7231725261778299
72,0.69178,0.65951,1.1317,0.75089,0.68052,0.74177,0.57946,0.81141,0.86014,1.2501,0.008614,0.008614,0.008614,0.7139752590802075
73,0.67954,0.64856,1.1258,0.7515,0.68366,0.75153,0.59128,0.80603,0.83108,1.2643,0.0085942,0.0085942,0.0085942,0.7159766019119819
74,0.6858,0.64691,1.1263,0.70851,0.71965,0.74626,0.589,0.79378,0.82421,1.2463,0.0085744,0.0085744,0.0085744,0.7140365526271566
75,0.67523,0.6459,1.1202,0.75289,0.67178,0.74507,0.58422,0.81631,0.82676,1.2696,0.0085546,0.0085546,0.0085546,0.7100261031677512
76,0.67888,0.62579,1.1191,0.73887,0.69896,0.7552,0.59321,0.8084,0.82031,1.2577,0.0085348,0.0085348,0.0085348,0.7183611069458838
77,0.68406,0.63625,1.1283,0.72427,0.66573,0.73592,0.58023,0.80344,0.84922,1.2522,0.008515,0.008515,0.008515,0.6937672907913668
78,0.67538,0.64971,1.1214,0.77529,0.6808,0.77016,0.60158,0.82544,0.78472,1.2769,0.0084952,0.0084952,0.0084952,0.7249791317844363
79,0.66548,0.62149,1.119,0.74304,0.70789,0.76535,0.59802,0.80794,0.82046,1.2652,0.0084754,0.0084754,0.0084754,0.725039230838152
80,0.67404,0.63699,1.1135,0.73277,0.70266,0.74083,0.57669,0.82111,0.82253,1.2726,0.0084556,0.0084556,0.0084556,0.7173992019116222
81,0.66666,0.61874,1.1147,0.71315,0.71074,0.74977,0.59178,0.80933,0.82128,1.2542,0.0084358,0.0084358,0.0084358,0.7119429604814979
82,0.66089,0.63167,1.1086,0.74299,0.7054,0.75103,0.59175,0.79013,0.81935,1.24,0.008416,0.008416,0.008416,0.7237072142171652
83,0.65931,0.60289,1.0977,0.71632,0.70349,0.73719,0.5748,0.81347,0.85332,1.2563,0.0083962,0.0083962,0.0083962,0.7098470313633513
84,0.65727,0.6052,1.1035,0.78648,0.66408,0.74243,0.58694,0.81654,0.85307,1.2562,0.0083764,0.0083764,0.0083764,0.7201158702845798
85,0.65898,0.60397,1.1109,0.75526,0.69269,0.75665,0.59713,0.80396,0.81687,1.2478,0.0083566,0.0083566,0.0083566,0.7226230869850478
86,0.65539,0.60533,1.1051,0.74881,0.68842,0.74203,0.58371,0.80354,0.83194,1.2494,0.0083368,0.0083368,0.0083368,0.7173462566186344
87,0.6523,0.61042,1.1142,0.76603,0.66274,0.74287,0.58832,0.79405,0.83889,1.2392,0.008317,0.008317,0.008317,0.7106514305311561
88,0.65517,0.60392,1.1094,0.74279,0.67769,0.75185,0.59335,0.79939,0.80577,1.2412,0.0082972,0.0082972,0.0082972,0.7087482472122099
89,0.64956,0.59866,1.0999,0.79374,0.67069,0.75344,0.58756,0.81086,0.79352,1.2664,0.0082774,0.0082774,0.0082774,0.7270453085500842
90,0.64309,0.58631,1.0964,0.75919,0.70559,0.74804,0.59133,0.81188,0.82313,1.2613,0.0082576,0.0082576,0.0082576,0.7314093203074864
91,0.63562,0.58565,1.1006,0.72263,0.70672,0.74344,0.58638,0.80504,0.83907,1.2756,0.0082378,0.0082378,0.0082378,0.7145864534228846
92,0.6381,0.58527,1.0943,0.76243,0.69422,0.75064,0.58819,0.82001,0.821,1.2649,0.008218,0.008218,0.008218,0.7267279780317852
93,0.6476,0.60072,1.0956,0.73664,0.72176,0.7626,0.60317,0.78564,0.79287,1.2315,0.0081982,0.0081982,0.0081982,0.7291240899616016
94,0.64368,0.59258,1.0981,0.72934,0.71139,0.75393,0.59437,0.79008,0.79293,1.2485,0.0081784,0.0081784,0.0081784,0.7202531808180576
95,0.63614,0.57734,1.0957,0.76177,0.69817,0.75265,0.59408,0.8073,0.81644,1.255,0.0081586,0.0081586,0.0081586,0.7285846827951832
96,0.64042,0.58266,1.0905,0.72707,0.71339,0.75831,0.59799,0.80724,0.81198,1.2471,0.0081388,0.0081388,0.0081388,0.7201650407508713
97,0.62509,0.57404,1.0889,0.7494,0.68907,0.74995,0.589,0.79668,0.81379,1.2513,0.008119,0.008119,0.008119,0.7179698679847337
